step_file	step_line	baseline	cited_file	old_range	new_range	method	flag	texts_equal	baseline_text	head_text	why
adocs/plan_todo/S131_quiescence_promotions.md	116	7b54f18	src/search.cpp	210-210	302-302	HAND	DRIFT	yes	state->explored_nodes++;	state->explored_nodes++;	quiescence's `state->explored_nodes++`. The bare basename spelling is the file's own and is left as it is; giving it a path is S144's.
adocs/plan_todo/S131_quiescence_promotions.md	138	7b54f18	tests/test_search.cpp	701-735	993-1027	BLOCK	ANCHOR	yes	TEST_CASE_FIXTURE(search_fixture_t, "a side in check may not stand pat") { // Black is ahead on material, so standing pat would report a comfortable // score. Black is also in check from the rook on e	TEST_CASE_FIXTURE(search_fixture_t, "a side in check may not stand pat") { // Black is ahead on material, so standing pat would report a comfortable // score. Black is also in check from the rook on e	exact block, unique
adocs/plan_todo/S131_quiescence_promotions.md	139	7b54f18	tests/test_search.cpp	775-787	1067-1079	BLOCK	DRIFT	yes	TEST_CASE_FIXTURE(search_fixture_t, "mate is recognised at depth zero") { const std::string fen = "7k/6Q1/6K1/8/8/8/8/8 b - - 0 1"; REQUIRE(load_FEN(fen, &game)); REQUIRE_MESSAGE(position_is_reachable	TEST_CASE_FIXTURE(search_fixture_t, "mate is recognised at depth zero") { const std::string fen = "7k/6Q1/6K1/8/8/8/8/8 b - - 0 1"; REQUIRE(load_FEN(fen, &game)); REQUIRE_MESSAGE(position_is_reachable	exact block, unique
adocs/plan_todo/S131_quiescence_promotions.md	162	7b54f18	src/search_params.hpp	51-51	106-106	BLOCK	DRIFT	yes	X(MAX_QSEARCH_DEPTH, "MaxQsearchDepth", 19, 1, 64) \	X(MAX_QSEARCH_DEPTH, "MaxQsearchDepth", 19, 1, 64) \	exact block, unique
adocs/plan_todo/S132_time_management_node_fraction.md	74	14748c9	src/chesso.cpp	427-480	454-507	BLOCK	DRIFT	yes	search_time_budget_t compute_search_time_budget(int remaining_ms, int increment_ms, int movestogo) { assert(movestogo >= 0); assert(remaining_ms > 0); assert(increment_ms >= 0); // The allocation this	search_time_budget_t compute_search_time_budget(int remaining_ms, int increment_ms, int movestogo) { assert(movestogo >= 0); assert(remaining_ms > 0); assert(increment_ms >= 0); // The allocation this	exact block, unique
adocs/plan_todo/S132_time_management_node_fraction.md	84	14748c9	src/search_params.hpp	190-240	262-312	BLOCK	DRIFT	yes	X(TM_SOFT_PERCENT, "TmSoftPercent", 60, 1, 100) \ X(TM_HARD_PERCENT, "TmHardPercent", 300, 100, 1000) \ \ /* The allocation itself, at a sudden-death control. There is no time \ control boundary to di	X(TM_SOFT_PERCENT, "TmSoftPercent", 60, 1, 100) \ X(TM_HARD_PERCENT, "TmHardPercent", 300, 100, 1000) \ \ /* The allocation itself, at a sudden-death control. There is no time \ control boundary to di	exact block, unique
adocs/plan_todo/S132_time_management_node_fraction.md	87	14748c9	src/data_structures.hpp	447-447	453-453	HAND	DRIFT	yes	uint64_t explored_nodes;	uint64_t explored_nodes;	search_state_t::explored_nodes. The identical declaration at 440 belongs to another struct, and 447 is now the `struct search_state_t` line itself.
adocs/plan_todo/S132_time_management_node_fraction.md	88	14748c9	src/search.cpp	430-430	608-608	HAND	DRIFT	yes	state->explored_nodes++;	state->explored_nodes++;	negamax's `state->explored_nodes++`, which is the one the sentence calls negamax entry.
adocs/plan_todo/S132_time_management_node_fraction.md	88	14748c9	src/search.cpp	210-210	302-302	HAND	DRIFT	yes	state->explored_nodes++;	state->explored_nodes++;	quiescence's `state->explored_nodes++`, the other half of the same sentence.
adocs/plan_todo/S132_time_management_node_fraction.md	89	14748c9	src/chesso.cpp	699-699	726-726	BLOCK	DRIFT	yes	state.explored_nodes = 0;	state.explored_nodes = 0;	exact block, unique
adocs/plan_todo/S132_time_management_node_fraction.md	92	14748c9	src/search.cpp	645-793	896-1063	HAND	DRIFT	no	for (size_t i = 0;; ++i) { if (i == moves_count) { // The captures ran out without a cutoff, so the quiets are needed after // all. This is the branch staging exists to avoid. if (quiets_generated) { 	for (size_t i = 0;; ++i) { if (i == moves_count) { // The captures ran out without a cutoff, so the quiets are needed after // all. This is the branch staging exists to avoid. if (quiets_generated) { 	negamax's shared move loop, `for (size_t i = 0;; ++i)`, which opens at 896 and closes at 1063.
adocs/plan_todo/S132_time_management_node_fraction.md	97	14748c9	src/chesso.cpp	647-647	674-674	BLOCK	DRIFT	yes	search_state_t state = {};	search_state_t state = {};	exact block, unique
adocs/plan_todo/S132_time_management_node_fraction.md	108	14748c9	src/chesso.cpp	60-82	71-93	BLOCK	DRIFT	yes	static int last_best_move_stability = 0; static int last_score_drop_cp = 0; static int last_time_scale_percent = 100; //-############################# DECLARATIONS ############################-// type	static int last_best_move_stability = 0; static int last_score_drop_cp = 0; static int last_time_scale_percent = 100; //-############################# DECLARATIONS ############################-// type	exact block, unique
adocs/plan_todo/S132_time_management_node_fraction.md	191	14748c9	src/chesso.cpp	837-852	864-879	BLOCK	DRIFT	yes	const int scale = conf.scale_time ? search_time_scale_percent( best_move_stability, score_drop) : 100; soft_limit_ms = (soft_base_ms * scale) / 100; // The hard limit is the ceiling on both. Scaling m	const int scale = conf.scale_time ? search_time_scale_percent( best_move_stability, score_drop) : 100; soft_limit_ms = (soft_base_ms * scale) / 100; // The hard limit is the ceiling on both. Scaling m	exact block, unique
adocs/plan_todo/S159_killer_slot_ageing.md	3	229a309	src/chesso.cpp	647-647	674-674	BLOCK	DRIFT	yes	search_state_t state = {};	search_state_t state = {};	exact block, unique
adocs/plan_todo/S159_killer_slot_ageing.md	5	229a309	src/search_params.hpp	29-29	29-29	HOLD	DRIFT	no	// Not in the set, on purpose: MATE_MAX, MATE_MIN, DRAW_SCORE, MIN, MAX and	// Not in the set, on purpose: MATE_MAX, MATE_MIN, DRAW_SCORE, MIN and	HOLD. Same comment line, one word dropped from it.
